"","date","GMV","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand","organic.net.home.forecast","organic.net.home.lift","organic.net.home.lift.low.bound","organic.net.home.lift.upper.bound","organic.home.forecast","organic.home.lift","organic.home.lift.low.bound","organic.home.lift.upper.bound","direct.net.home.forecast","direct.net.home.lift","direct.net.home.lift.low.bound","direct.net.home.lift.upper.bound","direct.home.forecast","direct.home.lift","direct.home.lift.low.bound","direct.home.lift.upper.bound","paid.brand.sessions.forecast","paid.brand.lift","paid.brand.lift.low.bound","paid.brand.lift.upper.bound"
"43",2014-06-23,744732,23513,5614,3815,10693,2551,NA,11137.5704905635,467.949689236959,429.053142996266,506.846235477651,2565.40379160519,418.739157271725,393.867238794873,443.611075748577,5994.8720285318,47.0896135851002,-122.92753821342,217.106765383621,3072.67633624278,1499.68230417404,1413.42785296987,1585.93675537822,NA,839.882805939007,783.067120086098,896.698491791916
"44",2014-06-30,688278,65165,6643,6530,12530,3742,NA,11287.6822218498,1197.48063924554,1019.78235551792,1375.17892297317,3265.75135037629,1164.94825865952,1050.28583971227,1279.61067760676,7294.35148460278,1138.566097509,476.710035531992,1800.422159486,6027.74005689849,3963.47306702002,3556.19204149086,4370.75409254917,NA,2290.7812283829,2075.52187671319,2506.04058005261
"45",2014-07-07,863037,60984,9955,10519,14960,4084,NA,12681.4847281583,1129.98911183891,970.258191994958,1289.72003168286,3693.40203461533,1089.7882716902,986.778564233681,1192.79797914671,6568.26072486435,970.819355572143,369.338782466176,1572.29992867811,6074.67167273895,3727.28863538035,3361.94234076726,4092.63492999345,NA,2147.27135121204,1951.25254771941,2343.29015470468
"46",2014-07-14,904507,56517,7763,10033,14711,3872,NA,15380.2976722953,1056.46590220447,914.936565602599,1197.99523880634,3842.55642784415,1009.55011713459,918.339350968607,1100.76088330058,7349.08454149228,805.945167156633,266.256440276984,1345.63389403628,9109.30436489297,3472.20384318067,3149.26645572838,3795.14123063296,NA,1993.41942859062,1817.13470986137,2169.70414731986
"47",2014-07-21,831858,58021,9327,17906,15180,4185,NA,14701.221394346,1081.38375194409,933.840862700047,1228.92664118813,3728.20542638694,1036.55832272881,941.450038897884,1131.66660655974,8269.405942035,859.801803837682,299.621337054625,1419.98227062074,9625.46052797119,3558.40524129155,3221.46535230658,3895.34513027652,NA,2045.28062838915,1862.44650951087,2228.11474726743
"48",2014-07-28,742614,49412,8703,10023,16027,4540,NA,15122.9350289899,936.51186079659,821.815764722196,1051.20795687098,4032.06736902718,882.061441714827,808.232243499324,955.89063993033,7650.95761573157,574.239787959881,127.058782946872,1021.42079297289,15173.5356357752,3060.63730581951,2800.05752855114,3321.21708308789,NA,1747.59178967661,1600.94439049047,1894.23918886274
"49",2014-08-04,659896,56178,10009,10712,16608,4620,6696,16337.4343056062,1050.82656132193,910.636583556987,1191.01653908687,4511.96511204013,1003.46351729933,913.120720875292,1093.80631372337,8278.8697009721,794.03797758749,258.924179597797,1329.15177557718,11022.1412232951,3452.72975689763,3132.90979422513,3772.54971957013,6691.28572464797,1981.72147364255,1806.89967862853,2156.54326865656
"50",2014-08-11,1852508,56808,9790,12077,16540,4234,7530,16710.7496434522,1061.30003741126,918.61626450705,1203.98381031547,4418.5584344138,1014.77519711117,922.816270727082,1106.73412349527,8769.17242378417,816.234470824052,272.60571457344,1359.86322707466,10447.6333190845,3488.90751333558,3163.2827434446,3814.53228322657,6830.05741176396,2003.45854302367,1825.91413635915,2181.00294968819
"51",2014-08-18,864637,76567,11567,16623,18396,4727,9128,16838.212469438,1375.02881220816,1143.75612692215,1606.30149749417,4488.89124442691,1370.20731726328,1220.773195073,1519.64143945357,10000.3980334779,1662.0165154866,823.029578003745,2501.00345296946,12459.2067306302,4594.94951366295,4062.29575184564,5127.60327548026,8457.76016490016,2679.73079183167,2408.21707173235,2951.244511931
"52",2014-08-25,935745,100216,12993,17129,19750,5925,11975,19038.8413222162,1712.92185802496,1349.18324159041,2076.66047445951,5203.16517060996,1797.29171706742,1561.77113648035,2032.8122976545,11667.1880134939,3055.56729903378,1790.96388115964,4320.17071690793,16512.9459993341,5845.81618080781,5001.74841627691,6689.88394533871,10266.5554181469,3475.18326939703,3069.34062101497,3881.02591777909
"53",2014-09-01,962195,109004,12557,15344,21500,5710,12618,20066.0321127087,1828.04244541177,1407.738415704,2248.34647511954,6030.14808444977,1956.46267290959,1684.14945993211,2228.77588588706,12741.9983990765,3679.28113330223,2236.49426784154,5122.06799876292,16903.853008618,6290.3900978984,5312.93245691002,7267.84773888678,12539.7107685336,3766.89829153102,3305.06879391317,4228.72778914887
"54",2014-09-08,1180208,110599,13072,13403,20365,5243,11237,21843.546905825,1848.32995895213,1417.33296517063,2279.32695273362,5400.05887729883,1985.37886574085,1706.10885500951,2264.64887647218,12715.7654987808,3798.6342624424,2322.34422730381,5274.92429758099,15265.0855292598,6369.90270023526,5367.20867393447,7372.59672653605,12141.9191085616,3819.61864371688,3347.27502273387,4291.9622646999
"55",2014-09-15,984653,122511,13528,13384,18729,5649,10801,20282.1895687035,1993.95077259018,1478.95165444789,2508.94989073247,5511.94834935016,2201.59770931283,1867.66112197393,2535.53429665173,13457.4044933149,4749.75957752569,3011.95442598988,6487.5647290615,13982.3036331533,6952.30006226268,5751.15974414097,8153.44038038439,10869.8308018548,4211.16423572111,3656.87144730631,4765.45702413592
"56",2014-09-22,1302509,109227,12543,12295,18189,5027,9896,18213.6652227623,1830.89008789714,1409.09893354791,2252.68124224636,5434.56133810703,1960.50500114845,1687.22429989239,2233.78570240451,12527.0507970271,3695.85449199345,2248.40497620553,5143.30400778136,12526.6298824474,6301.52864135203,5320.56161646875,7282.49566623531,9505.97336755997,3774.27338515702,3310.98040292679,4237.56636738726
"57",2014-09-29,1050065,164012,14762,13105,19649,5289,10991,18703.675564475,2420.09663799365,1555.35174799487,3284.84152799243,5890.65542677053,2958.51914273817,2396.77798898879,3520.26029648754,17660.1181633494,8886.71622903132,6082.08968969409,11691.3427683686,14564.7089009588,8823.88329152249,6793.97052114608,10853.7960618989,11132.7238292014,5545.15319307395,4658.14966486661,6432.15672128128
"58",2014-10-06,821722,169449,24608,15301,20032,6365,11441,19867.6606316697,2466.57811121931,1549.44134402368,3383.71487841494,5432.98585837886,3058.09961640019,2462.21425406363,3653.98497873676,17444.0927785964,9523.47504153757,6561.15874714897,12485.7913359262,13390.36670254,9050.94832536171,6896.6413801672,11205.2552705562,11327.9476274992,5716.44738528239,4780.42147780911,6652.47329275566
"59",2014-10-13,921095,152183,12983,17678,19418,5511,10057,19943.4491055295,2311.48850226114,1555.47024716954,3067.50675735274,6325.11223759949,2742.2008070772,2251.30430198353,3233.09731217087,17051.5958082264,7577.20650971511,5101.31061091122,10053.102408519,13904.9149259158,8315.36088033557,6543.42716378148,10087.2945968897,11410.3218445011,5169.7000306892,4385.00284833349,5954.3972130449
"60",2014-10-20,865863,153697,16504,14820,21354,4558,10886,19341.7339624255,2325.9613246764,1556.4292632815,3095.4933860713,5081.88248432685,2769.86198565575,2270.16115877118,3269.56281254033,17932.4636363964,7739.01131296097,5222.13801512209,10255.8846107999,16586.7128340574,8381.55632679841,6577.57168231995,10185.5409712769,10509.9358229679,5217.96683851318,4420.50796176919,6015.42571525716
"61",2014-10-27,1176202,166146,17181,16013,23071,4931,11783,21846.5745954643,2438.59859700105,1553.47163070543,3323.72556329668,4989.02676875792,2997.59254814789,2422.56869262862,3572.61640366715,16670.8090391969,9134.02361240042,6267.99962609518,12000.0475987057,15360.5679869343,8913.50609559493,6835.20600427485,10991.806186915,11965.5401328182,5612.48130116836,4706.38678613512,6518.5758162016
"62",2014-11-03,1378309,164143,13911,17083,24762,6797,12184,23370.8688601603,2421.2420297988,1555.25270118571,3287.2313584119,5047.09289584287,2960.91731568898,2398.36519678668,3523.46943459127,17187.629941853,8901.80025238619,6093.42313569288,11710.1773690795,15458.6509102462,8829.40361241013,6796.5367496675,10862.2704751527,11927.137420703,5549.28983613195,4661.11995568851,6437.4597165754
"63",2014-11-10,1183847,131173,17819,15992,26289,6436,11960,24771.8595505746,2093.31378914018,1512.64179880315,2673.98577947721,6366.98839828249,2359.11589911878,1982.42502676053,2735.80677147704,13235.7842495029,5507.57249583728,3567.08396573626,7448.06102593831,14910.3115314082,7363.13974714896,6006.65033692809,8719.62915736984,11442.0230669412,4493.45951462968,3875.78121020635,5111.13781905301
"64",2014-11-17,2273837,172951,14662,14939,27430,6897,12666,27057.8256096263,2495.37046695365,1543.68165488485,3447.05927902245,6539.17480538481,3122.29107356892,2503.88581503385,3740.69633210399,18306.2607266248,9945.24099604517,6879.15693239649,13011.3250596939,17199.0303277488,9194.97829795297,6958.60814733031,11431.3484485756,13184.9259629419,5826.35319078843,4858.08511275421,6794.62126882265
"65",2014-11-24,1485647,148551,18244,11590,27269,6003,11466,27356.8228385538,2276.08444425453,1552.00372277864,3000.16516573042,6418.8301210367,2675.87375344457,2205.78341202479,3145.96409486436,16014.9001253112,7195.98745104101,4817.08110599581,9574.8937960862,14033.1049497909,8155.2340465172,6459.03024771442,9851.43784531998,11475.0175384459,5053.65655108606,4299.17595473613,5808.137147436
"66",2014-12-01,2073288,219603,26312,15714,29293,7483,13778,27797.6683719083,2793.22811034601,1320.99802289625,4265.45819779578,7092.05712202924,3981.24306854118,3023.41632425126,4939.0698128311,24276.6063895197,16432.7932404823,11820.0054218139,21045.5810591507,14663.6608847596,10947.4645836884,7472.86525844637,14422.0639089304,13378.4666931925,7258.65047089155,5811.04355342436,8706.25738835875
"67",2014-12-08,2898883,246715,32330,14861,28336,7070,13669,29690.7959056527,2893.07821094331,1066.83140609944,4719.32501578718,8131.54455622668,4483.69462335691,3294.91643729349,5672.47280942034,30549.4050168882,20945.8096329355,15293.6663010204,26597.9529648505,16161.7191849928,11823.8611578412,7505.7051726266,16142.0171430558,14213.3461623829,8063.84148094607,6295.07884378295,9832.60411810918
"68",2014-12-15,2004357,235259,37213,8470,30146,3823,12407,28091.4107932033,2857.45653937844,1185.41603765745,4529.49704109943,6564.90787474035,4271.09388163379,3182.92460741794,5359.26315584963,28988.4035967285,18972.2521883516,13771.8806052934,24172.6237714099,14593.7035375831,11466.2864757681,7515.68646590815,15416.8864856281,13229.728124624,7726.05209649699,6096.81094831217,9355.29324468181
"69",2014-12-22,1066263,90370,20666,2000,29687,1088,8136,29230.6938992883,1577.22166451103,1272.13364381837,1882.30968520368,1235.86660303842,1619.25775658152,1421.8681148543,1816.64739830873,14718.0903525362,2424.90362938,1347.04753862345,3502.75972013656,3615.77272292961,5334.68601711835,4628.69549140965,6040.67654282704,8067.64208341489,3145.85343442575,2798.83112276099,3492.87574609052
"70",2014-12-29,843654,7231,13600,2101,25681,1665,5605,28420.3802949306,148.221856955509,139.29189115318,157.151822757837,551.641576775939,128.5832962194,122.918053026856,134.248539411944,15093.0484041819,-29.2446780700852,-73.2600837974937,14.7707276573234,-2402.69894982396,469.563962177862,450.335274596472,488.792649759253,5573.41836985668,259.891798379626,244.926229419144,274.857367340107
"71",2015-01-05,1325017,31315,13898,3815,25028,2169,7215,25637.5105284555,614.274257245716,556.179371198349,672.369143293082,2254.44579000877,558.082947208396,520.841683032507,595.324211384284,14177.9566075595,153.4538069092,-90.1400731387382,397.047686957139,2700.1325824558,1979.94559447475,1849.92737552045,2109.96381342904,6895.63954587202,1115.24748472572,1034.37683513232,1196.11813431912
"72",2015-01-12,1628852,45634,12240,6019,23692,3414,7339,25063.6808842473,871.221735262304,769.735061953454,972.708408571154,2003.13624761105,814.338030617438,749.058531276197,879.61752995868,12886.9005815517,466.303450335258,65.4241428074274,867.182757863089,4377.81620348809,2838.87085803574,2608.90060456756,3068.84111150393,8243.39123837763,1616.31674750689,1484.55311288367,1748.08038213011
"73",2015-01-19,960878,109091,11919,13319,24796,6254,10629,24334.9637800357,1829.15384244932,1408.26993877262,2250.03774612602,4716.14487998314,1958.03970539856,1685.34924118924,2230.73016960788,16183.1524095689,3685.74257844617,2241.13748323478,5130.34767365755,9015.37169334857,6294.73646882463,5315.91042935947,7273.56250828979,9582.28107702528,3769.77573110114,3307.3755295558,4232.17593264648
"74",2015-01-26,1279663.88,135416.85,16251,13549,25525,6566,11428,25135.7171650808,2139.98947785963,1525.73132474902,2754.24763097024,6357.22944133749,2436.37967678172,2037.81901679066,2834.94033677279,17102.2423101066,5899.19594353896,3855.55760418991,7942.834282888,13444.6835388866,7560.53527351832,6124.53959537974,8996.53095165691,11556.1552835585,4631.022162273,3981.12254091815,5280.92178362786
"75",2015-02-02,1243237.8,73715,12233,9580,24156,5449,8400,24799.2043627213,1331.51155996169,1114.26748600223,1548.75563392116,4878.38337264656,1318.82570171086,1178.49992517503,1459.15147824668,11847.7058044719,1522.02872987003,729.060711040445,2314.99674869962,10112.819569783,4438.72955859731,3938.94685103991,4938.51226615471,8937.81600005788,2582.77381288772,2325.85033543329,2839.69729034215
"76",2015-02-09,1221898,15515.15,15093,4972,22019,3423,5961,23026.9817979634,313.323567312092,290.853085416679,335.794049207505,4345.20124070224,276.103982495253,261.782846125547,290.42511886496,11168.5120848957,-15.0133266761841,-118.483290019525,88.4566366671573,5984.57408448928,998.386492991702,949.162199694642,1047.61078628876,6197.40806976624,555.887472537716,521.039756222624,590.735188852808
"77",2015-02-16,1036197,0,11110,3255,20890,2486,4597,21484.4573710332,0,0,0,2799.98090158234,0,0,0,12570.8324868901,0,0,0,3964.58203099609,0,0,0,5130.46250718057,0,0,0
"78",2015-02-23,1137723,13866,9799,6109,18619,3128,5162,21009.5760194066,280.857069187582,261.363923503667,300.350214871497,2989.13707706879,246.718726527259,234.305102973165,259.132350081353,12749.6218430235,-21.9102483444867,-112.775789837058,68.9552931480843,4119.37732887974,893.889547812338,851.314768176265,936.464327448411,4987.14128589607,497.111537125244,466.454821320408,527.76825293008
"79",2015-03-02,1069485,28474,9706,9252,18214,4014,5820,18395.0807726618,561.508245647077,510.767153197463,612.24933809669,3477.93486480772,507.319629833959,474.819974055056,539.819285612862,10934.7916325116,109.488110460832,-106.32368331804,325.299904239703,6397.11092498532,1806.06499089507,1692.85636622553,1919.27361556462,6085.75367975761,1015.168558565,943.357345326979,1086.97977180302
"80",2015-03-09,1551945,23818,9803,7737,17671,3824,5545,17990.6738162132,473.753640358107,434.165467382826,513.341813333389,3898.426543002,424.182723404051,398.865781448057,449.499665360046,10296.6434375301,50.3984339054883,-122.334397860898,223.131265671875,8070.92272583079,1518.61945046046,1430.79588673362,1606.44301418729,6036.50007033857,850.67860362536,792.971239072887,908.385968177832
"81",2015-03-16,1233088,8303,9634,5637,16091,3382,4575,17277.1019866221,169.869819158098,159.386762961016,180.352875355179,3306.68940132822,147.660390644334,141.005305876872,154.315475411797,10473.9627443374,-30.2745003586807,-81.4404540195464,20.8914533021851,6512.06645395718,538.544800187298,515.913768800642,561.175831573954,5469.59211241969,298.299877409645,280.926118519228,315.673636300063
"82",2015-03-23,1342766,8012,8662,5009,15603,3334,4584,15832.809567779,164.001691114942,153.946082201109,174.057300028775,3370.06759598893,142.481442313425,136.09888440161,148.86400022524,10400.8124575003,-30.0793570283822,-79.2882924389106,19.1295783821461,5528.45619391829,519.83573621888,498.142375266765,541.529097170995,4878.43705505612,287.876894136899,271.161690531558,304.59209774224
"83",2015-03-30,1235409,42040,8971,6735,15670,3972,5950,16151.8089306678,808.140989715351,718.53809039227,897.743889038432,3869.8297384077,749.956250500113,692.363651813272,807.548849186955,10252.9530741422,373.46403628742,14.770253810596,732.157818764244,6989.77692005978,2626.02295827316,2423.52927349707,2828.51664304925,6042.66669367298,1491.07491882016,1372.90597602308,1609.24386161723
"84",2015-04-06,978136,29459,9830,5936,17908,3893,5662,15327.6127855054,579.869652813756,526.626014213789,633.113291413723,3729.95290128898,524.916736560296,490.803924790036,559.029548330557,9496.06238613725,124.052439492293,-101.263231834332,349.368110818919,5819.95608085004,1866.48081328374,1747.55746337426,1985.40416319322,5709.86380493596,1049.89167272335,974.978401383167,1124.80494406353
"85",2015-04-13,910120,29376,9345,6014,17272,3829,5484,18394.1033524299,578.325190105113,525.294353934388,631.356026275838,3830.98985028754,523.433812332132,489.458192857191,557.409431807073,9727.80171971598,122.797386605293,-101.712191404525,347.306964615111,5708.9478850077,1861.3952552036,1742.95809092318,1979.83241948403,5893.85471725403,1046.96678366594,972.316498233427,1121.61706909845
"86",2015-04-20,765255,44284,10917,8232,18121,4641,6540,17415.8639026647,847.637923939924,750.693120071048,944.5827278088,3995.65236801215,790.149606818633,727.808548587143,852.490665050123,10254.6243438347,430.305444597161,45.4849192534876,815.125969940834,6650.80990096209,2759.13484584609,2539.67327175451,2978.59641993767,6122.49917890678,1569.31384855116,1442.72124280434,1695.90645429797
"87",2015-04-27,950406,25404,9604,5268,17073,3827,5058,17891.8060905063,503.824335508453,460.562468705656,547.086202311251,4328.56120367707,452.494168286092,424.812573281005,480.175763291178,9945.942920845,68.7181599269406,-118.346881394306,255.783201248187,6528.32527453756,1616.87955950612,1520.71072247533,1713.04839653691,5956.54092314403,906.775969635903,844.368011931127,969.18392734068
"88",2015-05-04,1025907,3201,7574,3555,16845,3200,3878,16496.0261314101,66.0869572080042,62.4660707378765,69.7078436781318,3103.51886311765,56.8998338210669,54.6093058563032,59.1903617858306,9960.12147293649,-17.7369633687603,-36.3154239287328,0.841497191212155,3912.4695414212,208.781726940641,201.069176255599,216.494277625683,4135.1940821279,115.223629479249,108.873406399822,121.573852558675
