"","date","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions","organic.net.home.forecast","organic.home.forecast","direct.net.home.forecast","direct.home.forecast","paid.brand.sessions.forecast"
"17",2013-12-16,0,4756,1931,9421,2319,NA,9108.51071608045,2432.12341606631,5812.99519838667,2332.59361190332,NA
"18",2013-12-23,0,4953,1274,10394,1409,NA,9469.08967988926,2440.35391158108,5521.91958206561,1963.28978250922,NA
"19",2013-12-30,0,4482,1726,10482,2212,NA,10614.7134836427,1300.9029878309,5379.70959914257,1437.92746358082,NA
"20",2014-01-06,0,4698,1912,10357,2400,NA,10501.9617539163,2630.60006299386,5120.19941691337,1795.12729898136,NA
"21",2014-01-13,0,5135,1955,10598,2445,NA,10328.6452359143,1994.92192461238,5017.80350283837,1941.6754206455,NA
"22",2014-01-20,0,4823,2200,11740,2697,NA,10652.6679851571,2628.12498600967,5068.54983225979,1976.69936806555,NA
"23",2014-01-27,0,5293,2310,12098,2684,NA,11999.0491246865,2624.58410556592,4989.33928435159,2172.77308407793,NA
"24",2014-02-03,0,6661,2155,12489,2849,NA,12179.2080443413,2657.94138526101,5091.07630808635,2260.90153055098,NA
"25",2014-02-10,0,5418,2208,12296,2893,NA,12577.6937020599,2892.96689385923,5569.35532933472,2139.19565632466,NA
"26",2014-02-17,0,5169,2145,12170,2794,NA,12252.2202442518,2833.83854617863,5473.3347581029,2181.81260988211,NA
"27",2014-02-24,0,4885,1789,11556,2335,NA,12141.4183978017,2799.73283427315,5381.34613269416,2130.60340630791,NA
"28",2014-03-03,0,5565,1780,11349,2358,NA,11416.7213988113,2283.87106597906,5236.8045075696,1846.86592979311,NA
"29",2014-03-10,0,4812,1964,10745,2303,NA,11302.0445106742,2506.42614580172,5354.48843455603,1838.41583638084,NA
"30",2014-03-17,0,8007,1981,10725,2286,NA,10607.9897799381,2206.43977835253,5176.62860870851,1983.15162411671,NA
"31",2014-03-24,0,11021,2180,9529,2233,NA,10720.4632377463,2350.57728887497,6071.6353212053,1996.83623172858,NA
"32",2014-03-31,0,4826,1895,10084,2185,NA,9257.70161722849,2193.21539531233,7521.12463697689,2153.79691512692,NA
"33",2014-04-07,0,5232,2389,9964,2164,NA,10209.8951525403,2212.78073189844,6527.27037079196,1929.41071919453,NA
"34",2014-04-14,0,4363,1729,10261,1986,NA,9936.77942647777,2157.5010333767,6201.60081716645,2319.45651133085,NA
"35",2014-04-21,0,5370,1927,11154,2103,NA,10328.3709194675,1966.57320188,5674.40017265682,1796.93798801659,NA
"36",2014-04-28,0,5143,1827,11407,1941,NA,11356.5664346279,2177.55030892243,5638.81241091694,1951.97656650383,NA
"37",2014-05-05,36181,4963,2588,11181,2325,NA,12601.338208894,2602.93289821675,5605.06176697617,4505.39770308547,NA
"38",2014-05-12,49349,5574,3914,11725,2739,NA,11236.543617032,2631.35014017383,5714.34127021214,3903.9070438802,NA
"39",2014-05-19,46744,9458,4802,11964,2942,NA,11695.5971641861,2784.03560151821,5622.74610025154,4063.72235202223,NA
"40",2014-05-26,51497,6249,4657,13003,3033,NA,12161.1896756084,2989.82167317149,6947.79348020868,5212.47421300119,NA
"41",2014-06-02,42098,5589,4609,13699,3076,NA,12955.2603386204,2801.050019693,6373.83680898943,4215.00291819346,NA
"42",2014-06-09,25370,5234,3528,12611,2753,NA,13428.4998214644,2789.62807938359,5892.49527847007,3505.73264407333,NA
"43",2014-06-16,28605,6770,3435,11471,2681,NA,12571.7822713003,2730.7716865716,5745.23011898753,3800.33893545914,NA
"44",2014-06-23,23513,5614,3815,10693,2551,NA,11036.4495666251,2596.01088687852,6038.01825679713,3180.82779087977,NA
"45",2014-06-30,65165,6643,6530,12530,3742,NA,11695.1528607164,3428.74703666094,6852.56289579285,6577.68482580794,NA
"46",2014-07-07,60984,9955,10519,14960,4084,NA,12584.2863805331,3705.11019695479,6640.11369859027,6244.77853515125,NA
"47",2014-07-14,56517,7763,10033,14711,3872,NA,15421.6392305424,3949.76370134202,7521.19649158374,9336.14687968291,NA
"48",2014-07-21,58021,9327,17906,15180,4185,NA,14718.4965774414,3798.86508722128,7544.33652461092,9314.71494951546,NA
"49",2014-07-28,49412,8703,10023,16027,4540,NA,15053.4841450631,4141.82582832384,7820.76343700193,14938.7846513666,NA
"50",2014-08-04,56178,10009,10712,16608,4620,6696,16447.1355862179,4618.02218823725,8242.18328245552,9645.25563719559,5988.90230418174
"51",2014-08-11,56808,9790,12077,16540,4234,7530,16715.7520593869,4522.11230978474,8781.56899910946,9906.32338134353,6660.81041227749
"52",2014-08-18,76567,11567,16623,18396,4727,9128,16996.7771464675,4647.20551591252,9846.32481727945,12227.1872603918,8303.36543609043
"53",2014-08-25,100216,12993,17129,19750,5925,11975,19201.0859790992,5308.3909519097,11713.7566950115,16259.6391341665,9988.16455342556
"54",2014-09-01,109004,12557,15344,21500,5710,12618,20106.8363323918,6130.41368479246,12675.1880625037,16098.7756925169,12190.4536434183
"55",2014-09-08,110599,13072,13403,20365,5243,11237,21888.4022323391,5477.65196885748,12715.2401924167,14427.7951035826,12554.72663885
"56",2014-09-15,122511,13528,13384,18729,5649,10801,20298.3368229884,5641.06324578951,13777.9336677325,13472.634835369,11569.774162901
"57",2014-09-22,109227,12543,12295,18189,5027,9896,18091.9306203614,5451.83931639894,12636.8680182555,12279.9902288414,10231.1845155883
"58",2014-09-29,164012,14762,13105,19649,5289,10991,18857.4016611673,5947.54475294945,17842.1064713104,14622.1129903616,11659.4926383122
"59",2014-10-06,169449,24608,15301,20032,6365,11441,19860.9438019431,5432.11179543361,17535.5974145517,13407.6335175896,11084.3959497428
"60",2014-10-13,152183,12983,17678,19418,5511,10057,19937.4769349236,6372.26047731496,17853.4798896096,14223.1671645505,10843.7628368599
"61",2014-10-20,153697,16504,14820,21354,4558,10886,19334.0976571788,5024.15300082013,16290.4902372528,16775.0890520384,10046.005401417
"62",2014-10-27,166146,17181,16013,23071,4931,11783,21913.8587577362,5056.20977598917,17911.9626893835,15022.7550841615,11195.0582763817
"63",2014-11-03,164143,13911,17083,24762,6797,12184,23413.7895236166,5019.48086102494,17449.1191695931,15466.3903280852,11644.094164345
"64",2014-11-10,131173,17819,15992,26289,6436,11960,24758.9774072514,6364.80795040025,12943.9068072062,14881.3973141272,11037.058655704
"65",2014-11-17,172951,14662,14939,27430,6897,12666,27191.4285289467,6682.72659428687,19057.0607766082,17114.9748963906,13179.570934591
"66",2014-11-24,148551,18244,11590,27269,6003,11466,27341.8418181413,6616.40264850713,14759.4971942671,13755.6493669613,11833.8545075398
"67",2014-12-01,219603,26312,15714,29293,7483,13778,27738.4523367638,7242.08308181908,25379.2669905069,14663.523175811,13323.0996126934
"68",2014-12-08,246715,32330,14861,28336,7070,13669,29620.9557264358,8149.89155589276,30194.4326163844,16525.0797921268,14251.8574282288
"69",2014-12-15,235259,37213,8470,30146,3823,12407,28151.1567098673,6582.98142042021,28798.551183601,14937.7756475315,13365.3070419483
"70",2014-12-22,90370,20666,2000,29687,1088,8136,29165.0891691204,981.566833805439,14559.4028062435,3904.91893616888,7978.2398949588
"71",2014-12-29,7231,13600,2101,25681,1665,5605,27670.3057873886,209.763104912076,13952.1326247363,-1888.03904929015,4300.96229127253
"72",2015-01-05,31315,13898,3815,25028,2169,7215,26029.9426674094,2074.02254631063,13735.9825617944,4281.85008015438,6709.88083667668
"73",2015-01-12,45634,12240,6019,23692,3414,7339,25115.0474796776,1937.89642595545,14058.5287644167,5224.6411802001,7794.94685280765
"74",2015-01-19,109091,11919,13319,24796,6254,10629,24722.8168610187,5133.68428777361,16611.4994152581,10025.547976275,9895.08298396888
"75",2015-01-26,135416.85,16251,13549,25525,6566,11428,25136.0291236374,6530.86075400946,17427.8199387538,14108.2471282183,11473.9690026776
"76",2015-02-02,73715,12233,9580,24156,5449,8400,24463.7031925332,5049.49538752911,12865.4768562952,9849.26738853675,8999.24562696279
