Date, Revenue , Order Count 
9/14/2013," 95,088 ", 11 
9/15/2013," 112,505 ", 8 
9/16/2013," 128,269 ", 13 
9/17/2013," 69,003 ", 6 
9/18/2013," 74,926 ", 7 
9/19/2013," 53,857 ", 9 
9/20/2013," 56,778 ", 9 
9/21/2013," 18,882 ", 5 
9/22/2013," 20,473 ", 5 
9/23/2013," 12,150 ", 4 
9/24/2013," 87,947 ", 12 
9/25/2013," 99,155 ", 10 
9/26/2013," 33,043 ", 6 
9/27/2013," 36,652 ", 3 
9/28/2013," 51,857 ", 4 
9/29/2013," 53,889 ", 7 
9/30/2013," 17,990 ", 4 
10/1/2013," 149,877 ", 14 
10/2/2013," 48,428 ", 9 
10/3/2013," 107,691 ", 11 
10/4/2013," 86,697 ", 9 
10/5/2013," 56,480 ", 6 
10/6/2013," 41,305 ", 4 
10/7/2013," 86,561 ", 13 
10/8/2013," 80,489 ", 14 
10/9/2013," 175,164 ", 14 
10/10/2013," 56,690 ", 11 
10/11/2013," 31,214 ", 7 
10/12/2013," 57,433 ", 8 
10/13/2013," 59,769 ", 6 
10/14/2013," 28,265 ", 6 
10/15/2013," 66,097 ", 13 
10/16/2013," 183,860 ", 14 
10/17/2013," 45,001 ", 8 
10/18/2013," 69,555 ", 12 
10/19/2013," 47,815 ", 3 
10/20/2013," 13,113 ", 4 
10/21/2013," 114,578 ", 15 
10/22/2013," 62,112 ", 13 
10/23/2013," 121,546 ", 15 
10/24/2013," 137,129 ", 9 
10/25/2013," 55,960 ", 12 
10/26/2013," 104,965 ", 11 
10/27/2013," 51,653 ", 6 
10/28/2013," 74,007 ", 13 
10/29/2013," 69,679 ", 9 
10/30/2013," 140,325 ", 16 
10/31/2013," 135,383 ", 16 
11/1/2013," 128,707 ", 14 
11/2/2013," 38,956 ", 5 
11/3/2013," 91,700 ", 7 
11/4/2013," 73,476 ", 12 
11/5/2013," 94,257 ", 14 
11/6/2013," 111,559 ", 15 
11/7/2013," 54,805 ", 9 
11/8/2013," 47,564 ", 8 
11/9/2013," 48,214 ", 7 
11/10/2013," 33,948 ", 7 
11/11/2013," 169,395 ", 14 
11/12/2013," 137,318 ", 18 
11/13/2013," 235,547 ", 20 
11/14/2013," 124,069 ", 14 
11/15/2013," 95,533 ", 13 
11/16/2013," 87,590 ", 9 
11/17/2013," 88,099 ", 9 
11/18/2013," 145,533 ", 26 
11/19/2013," 173,283 ", 25 
11/20/2013," 129,359 ", 22 
11/21/2013," 134,296 ", 18 
11/22/2013," 170,819 ", 18 
11/23/2013," 33,328 ", 8 
11/24/2013," 51,534 ", 10 
11/25/2013," 219,333 ", 12 
11/26/2013," 93,489 ", 12 
11/27/2013," 191,757 ", 21 
11/28/2013," 35,488 ", 12 
11/29/2013," 89,704 ", 18 
11/30/2013," 170,615 ", 12 
12/1/2013," 56,591 ", 12 
12/2/2013," 225,485 ", 40 
12/3/2013," 292,821 ", 35 
12/4/2013," 128,685 ", 20 
12/5/2013," 211,261 ", 38 
12/6/2013," 231,106 ", 30 
12/7/2013," 120,025 ", 13 
12/8/2013," 185,977 ", 38 
12/9/2013," 360,411 ", 24 
12/10/2013," 122,180 ", 30 
12/11/2013," 211,815 ", 35 
12/12/2013," 166,729 ", 18 
