"","date","tv.spend","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions","organic.net.home.forecast","organic.home.forecast","direct.net.home.forecast","direct.home.forecast","paid.brand.sessions.forecast"
"51",2014-08-11,56808,9790,12077,16540,4234,7530,16713.6717782339,4387.38223351837,8792.59442665506,10315.6566625452,7528.14444721757
"52",2014-08-18,76567,11567,16623,18396,4727,9128,16837.8556947523,4434.38717161028,9860.24545889133,12443.4088937117,9126.00893139213
"53",2014-08-25,100216,12993,17129,19750,5925,11975,19048.511342396,5217.26265654003,11723.7621672238,16399.6538142666,11971.7192608784
"54",2014-09-01,109004,12557,15344,21500,5710,12618,20072.3734701185,6094.29313259338,12686.2938161455,16516.1253907858,12615.0725792922
"55",2014-09-08,110599,13072,13403,20365,5243,11237,21853.8136426658,5336.79251538107,12728.1267964415,15039.8650749533,11235.8846080458
"56",2014-09-15,122511,13528,13384,18729,5649,10801,20274.8410325505,5398.09893712971,13783.5801914404,14061.793844892,10800.8283340941
"57",2014-09-22,109227,12543,12295,18189,5027,9896,18202.5969491705,5527.93568220693,12646.2352692002,12909.0230323854,9896.27503752698
"58",2014-09-29,164012,14762,13105,19649,5289,10991,18700.5255040958,5804.88004464817,17826.790100872,14867.8654383463,10991.9661487969
"59",2014-10-06,169449,24608,15301,20032,6365,11441,19873.1608800097,5312.90968045178,17524.2019401394,13767.5306102646,11441.6155854099
"60",2014-10-13,152183,12983,17678,19418,5511,10057,19945.9527352749,6391.96719654066,17837.5581927149,14444.8125595448,10058.3250943007
"61",2014-10-20,153697,16504,14820,21354,4558,10886,19338.7488314446,5065.76360944096,16306.9978929155,16841.4562529481,10886.4684028483
"62",2014-10-27,166146,17181,16013,23071,4931,11783,21858.3895220547,4717.67077310099,17900.6806848761,15233.4423899259,11782.9735700194
"63",2014-11-03,164143,13911,17083,24762,6797,12184,23381.0433816474,5183.01233387225,17442.81720004,15644.3823367501,12183.5233610205
"64",2014-11-10,131173,17819,15992,26289,6436,11960,24783.1471528289,6443.61638395403,12954.0437054799,15133.0310819547,11958.6926909888
"65",2014-11-17,172951,14662,14939,27430,6897,12666,27068.5871341205,6556.92244156162,19027.2886375156,17159.6428992208,12665.4593194867
"66",2014-11-24,148551,18244,11590,27269,6003,11466,27362.1365740266,6235.72294679817,14771.9347635578,14092.2224291528,11465.8566734723
"67",2014-12-01,219603,26312,15714,29293,7483,13778,27795.935962117,7244.77185656014,25323.6551437874,14818.1467938288,13777.9376401421
"68",2014-12-08,246715,32330,14861,28336,7070,13669,29699.5093176401,8092.43080952804,30142.1254847017,16598.9814378249,13669.9255478219
"69",2014-12-15,235259,37213,8470,30146,3823,12407,28085.5249276345,6557.69530180952,28774.7575421876,14941.0019487193,12408.7389636964
"70",2014-12-22,90370,20666,2000,29687,1088,8136,29245.3269292306,879.016198597314,14620.3354423126,4369.44133685585,8137.05320090792
"71",2014-12-29,7231,13600,2101,25681,1665,5605,28423.8748604675,608.847957657611,14012.1036522231,-1250.38356165502,5605.67503452682
"72",2015-01-05,31315,13898,3815,25028,2169,7215,25622.0413437889,2452.06092470312,13810.5045167079,3614.48586088504,7214.88816083255
"73",2015-01-12,45634,12240,6019,23692,3414,7339,25056.768746119,1776.73406866101,14114.546382466,4610.63932495983,7339.25626460735
"74",2015-01-19,109091,11919,13319,24796,6254,10629,24325.1531077535,4619.24784042462,16650.4619015769,8996.217335891,10628.1555319903
"75",2015-01-26,135416.85,16251,13549,25525,6566,11428,25136.3325697179,6657.58447728531,17445.2008885993,13294.2736353057,11430.9847586451
"76",2015-02-02,73715,12233,9580,24156,5449,8400,24802.1504311252,4814.99096910051,12874.7874016933,9761.91392483142,8425.79634743636
"77",2015-02-09,15515.15,15093,4972,22019,3423,5961,23022.6188167115,4413.83145015309,11329.2298132982,5799.16258194069,7002.01302663219
"78",2015-02-16,0,11110,3255,20890,2486,4597,21477.2104996088,2902.02657726172,12587.4102357382,3912.52710575282,5705.58754666419
"79",2015-02-23,13866,9799,6109,18619,3128,5162,21004.8740720138,2849.80549458016,11953.1585405683,4206.94806882785,6408.96829760093
"80",2015-03-02,28474,9706,9252,18214,4014,5820,18379.2828703559,3600.88065597268,11404.7898447181,6567.82256104066,5225.94491780441
"81",2015-03-09,23818,9803,7737,17671,3824,5545,17986.2175364657,3856.73227499585,10894.8352296441,8065.71025706323,4609.11017168317
"82",2015-03-16,8303,9634,5637,16091,3382,4575,17273.9186396256,3269.40393075398,10579.4194188529,6306.349016204,4769.72971446583
"83",2015-03-23,8012,8662,5009,15603,3334,4584,15824.8572367253,3304.6870894289,10319.7101373308,5469.38102796751,3986.41751595824
